date,text,place
2020-11-26 11:47:34,"@birnstinglausro die wirkung des covid19 ist besonders effektiv, wenn gesundheit mit wirtschaft verglichen wird. de… https://t.co/tfhldrk4pz",Stuttgart
2020-11-26 11:44:15,tübinger oberbürgermeister kritisiert corona-regeln: boris palmer nennt maßnahme „mittelalterliche methode“ https://t.co/tqnfwmjroa,Stuttgart
2020-11-26 11:41:08,@regsprecher auf ihr gehalt verzichten würden und es dann den wirren und hoteliers spenden würde. hm🤔dann wäre euer… https://t.co/oxdu2bsm8d,Stuttgart
2020-11-26 11:36:00,"eine kooperation von #wissenschaftlern aus den niederlanden, schweden, der türkei und der @unihohenheim untersucht,… https://t.co/rjhkameoht",Stuttgart
2020-11-26 11:19:56,falsche angaben von balinger maskengegnern irritieren https://t.co/r25qjxopi6 #maskenpflicht #coronavirus,Stuttgart
2020-11-26 11:04:58,tübinger oberbürgermeister kritisiert corona-regeln: boris palmer nennt maßnahme „mittelalterliche methode“ https://t.co/cevnpyu5g4,Stuttgart
2020-11-26 11:01:57,corona-warn-app für iphone und android version 1.7 ist da › die neue version warnt jetzt mehrmals täglich https://t.co/4qgcpeq0yl,Stuttgart
2020-11-26 10:51:01,deutschland im corona-winter: retten strenge regeln das fest? / 26.11.2020 https://t.co/bsptmjz10n,Stuttgart
2020-11-26 10:49:13,"wir dokumentieren, was #wdr-fernsehdirektor schönenborn mitte september seiner belegschaft schrieb und wie er die c… https://t.co/ue29a4vjwa",Stuttgart
2020-11-26 10:39:25,"@volksverpetzer @der_postillon auch wenn ich freiwild normalerweise nicht mag...der passende songtext dazu...

""mac… https://t.co/hf6cjlflv3",Stuttgart
2020-11-26 10:36:47,"teil-lockdown - confinement2 - déconfinement ? - 
oder wie meistern wir alle zusammen am besten diese krise?

(dé)c… https://t.co/mmfg8cgbje",Stuttgart
2020-11-26 10:27:54,tübingens ob boris palmer - von anfang an falsche strategie in corona-krise https://t.co/lj4wpffvrd #stuttgart #nachrichten,Stuttgart
2020-11-26 10:22:34,neue corona-regeln bis ende dezember: bund und länder haben sich am mittwoch auf maßnahmen zur eindämmung der… https://t.co/yiefqbd0jw,Stuttgart
2020-11-26 10:19:48,nach neuen beschlüssen: debatte um #corona-maßnahmen geht in baden-württemberg weiter https://t.co/r25qjxopi6 #weihnachten #silvester,Stuttgart
2020-11-26 10:00:46,@h_fietz @uhrentraeger @nordhessische und anscheinend auch schlecht abgestimmtes kommunikation wenn ich dies hier l… https://t.co/1ztwkod0ry,Stuttgart
2020-11-26 09:50:39,"@hta_hannah bitte nicjt, allein dass sie sich darüber beschwert hat, dass die ministerpräsidenten sich erdreistet h… https://t.co/5p9sokpyto",Stuttgart
2020-11-26 09:49:03,deutschland im corona-winter: retten strenge regeln das fest? / 26.11.2020 https://t.co/ocmc6lpxrw https://t.co/mmobrnpuus,Stuttgart
2020-11-26 09:42:49,"in absehbarer zeit keine aussicht auf öffnung? 

was bedeuten die gefassten beschlüsse von bund und ländern zur ver… https://t.co/dvwkdufqud",Stuttgart
2020-11-26 09:34:09,"@tfruehmark damit man bei der nächsten wahlen nicht vergisst, wer alles mit dabei war.
https://t.co/fjr8nttayj",Stuttgart
2020-11-26 09:32:27,@strongskyy @drevixef an corona sind nichtmal 1% gestorben der bevölkerung 😂,Stuttgart
2020-11-26 09:27:24,"ok, die schlauen haben die demo gemieden und schließen sich jetzt nach möglichkeit 2 wochen ein. der rest sollte si… https://t.co/6iogvmttqe",Stuttgart
2020-11-26 09:19:33,"@piratenpartei wenn ihr wissen wollt, wer für dieses schlamassel verantwortlich ist.

https://t.co/fjr8nttayj",Stuttgart
2020-11-26 09:18:20,"wie es scheint, ist das @mags_nrw unter karl laumann, das für die coronavo verantwortl. zeichnet, wenig sexworkerfr… https://t.co/i2vadrdjnv",Stuttgart
2020-11-26 09:18:20,"„wir wollen eine prüfung mit dem ziel der aufhebung des verbots“, erklärte die frauenpolitische sprecherin ihrer fr… https://t.co/gcizldixvy",Stuttgart
2020-11-26 09:18:18,in 12 von 16 bundesländern aber auch sexarbeit an sich. sexuelle dienstleistungen (auch) außerhalb konzessionierter… https://t.co/mive1i9ljj,Stuttgart
2020-11-26 09:18:17,"aktueller stand ist, dass das prostitutionsgewerbe gemäß den vorgaben der gemeinsamen beschlüsse von bund und lände… https://t.co/mo9kuma61b",Stuttgart
2020-11-26 09:11:21,neue corona-regeln bis ende dezember: bund und länder haben sich am mittwoch auf maßnahmen zur eindämmung der… https://t.co/jsul5wj7jg,Stuttgart
2020-11-26 09:10:01,"je digitalisierter die schulen, desto besser das bildungssystem ... von wegen!

https://t.co/8gygwwgmlg",Stuttgart
2020-11-26 09:05:50,"bundeskanzlerin angela merkel hat sich mit blick auf anstehende winterurlaube dafür ausgesprochen, dass alle skigeb… https://t.co/mfdskfjrpq",Stuttgart
2020-11-26 09:05:09,#luftreiniger als zusätzliche anti-#corona-maßnahme: da die virenlast in der luft dank verbauter #hepa-filter gerin… https://t.co/pjc3v4hnle,Stuttgart
2020-11-26 08:57:17,"noch ein aufreger:  warum sind die corona-vorkehrungen in der öpnv so lax, in der gastro aber so streng, dass sie z… https://t.co/ooqddii1qb",Stuttgart
2020-11-26 08:47:21,joe biden: gewählter us-präsident ruft zur einheit im kampf gegen corona auf https://t.co/unkwqpn98i,Stuttgart
2020-11-26 08:37:44,neue anti-corona-regeln: eine wette auf den impfstoff https://t.co/ogdb8kazpd,Stuttgart
2020-11-26 08:36:33,"@nic_i4475 @afelia traurig, welches menschenbild in eurer firma herrscht. das ist so 19. jhdt.  
ich drücke dir die… https://t.co/ssfdfaq1ng",Stuttgart
2020-11-26 08:24:30,#corona - bilanz nach einem jahr https://t.co/8xxrzzomrt,Stuttgart
2020-11-26 08:20:52,für #hildburghausen hat das @rki_de im #corona-lagebericht eine neue farbe eingeführt. https://t.co/smpllsjr6f,Stuttgart
2020-11-26 08:20:29,"für den amateur- und breitensport bleibt es beim weitgehenden stillstand in der #corona-krise, der profisport muss… https://t.co/nwb6mpxosv",Stuttgart
2020-11-26 08:20:05,ein sehr ungerechtes virus https://t.co/zolurxb8ve via @zeitonline,Stuttgart
2020-11-26 08:16:03,"der alltag in den eigenen vier wänden ... wie ich eine umarmung meiner freunde vermisse!

https://t.co/4wt8spdzjl… https://t.co/kxhtbqwz9f",Stuttgart
2020-11-26 08:13:33,joe biden: gewählter us-präsident ruft zur einheit im kampf gegen corona auf https://t.co/2unrldyawk,Stuttgart
2020-11-26 08:12:50,corona-news im live-ticker - braun hält einschränkungen bis märz für möglich https://t.co/bas7xtiq1o #stuttgart #nachrichten,Stuttgart
2020-11-26 08:12:30,"#digitalisierung der gesundheitsämter : ""den sommer verschwendet""  https://t.co/a6onbrwpr4",Stuttgart
2020-11-26 08:11:53,finde den fehler: dolmetschstundensatz laut bmjv-marktanalyse: 95 euro. abzüglich 5 % covid-19-rabatt laut bt-recht… https://t.co/iclblcjrud,Stuttgart
2020-11-26 08:03:11,"blödheit hat einen namen: hildburghausen

corona-hotspot hildburghausen: 400 demonstranten ziehen singend durch die… https://t.co/ha3rzjur6v",Stuttgart
2020-11-26 07:59:55,neue anti-corona-regeln: eine wette auf den impfstoff https://t.co/qaraavuuds,Stuttgart
2020-11-26 07:48:20,winfried kretschmann in der corona-krise: bei hohen fallzahlen soll es an schulen wechselunterricht geben https://t.co/n2nxasggc4,Stuttgart
2020-11-26 07:25:27,winfried kretschmann in der corona-krise: bei hohen fallzahlen soll es an schulen wechselunterricht geben https://t.co/mi9p40nqa4,Stuttgart
2020-11-26 07:20:06,#lbbw_morgeninfo: #bund und #länder einigen sich auf verlängerung und verschärfung von #corona-maßnahmen. #us-neuba… https://t.co/lgxmhalq4p,Stuttgart
2020-11-26 07:19:49,die aktuelle corona-politik entspricht nicht mehr seinem  verständnis von demokratie. hotelier michael fäßler zieht… https://t.co/glcdj5pds9,Stuttgart
2020-11-26 07:15:37,"läusebefall in der 7. klasse.eltern werden informiert, müssen unterschriebenen zettel zurückgeben. abstandsregel sc… https://t.co/wclb8imhom",Stuttgart
2020-11-26 07:08:14,an schulen in baden-württemberg soll es bei sehr hohen fallzahlen künftig wechselunterricht geben. dies sagte minis… https://t.co/eejzbxfukz,Stuttgart
2020-11-26 07:07:06,#lbbw_morgeninfo: #bund und #länder einigen sich auf verlängerung und verschärfung von #corona-maßnahmen. #us-neuba… https://t.co/ack03w295a,Stuttgart
2020-11-26 06:48:59,"#medi-chef dr. werner baumgärtner beantwortet im ""ärztetag"", dem #podcast der @aerztezeitung, fragen zur… https://t.co/rca2kvbmvt",Stuttgart
2020-11-26 06:33:04,"das ist der corona-fahrplan für den winter:
bundesländer mit hohen infektionszahlen stärker in der pflicht und teil… https://t.co/benbmwk1it",Stuttgart
2020-11-26 06:29:13,"@toubihemue (...) ""lehrer sollen dem beschluss zufolge wegen ""des zeitlich befristeten und anders strukturierten ko… https://t.co/8gl8qklzss",Stuttgart
2020-11-26 06:20:55,"singen im corona-hotspot. eng aneinander gekuschelt. 100te menschen. 

und sich dabei im widerstand wähnen. 

arsch… https://t.co/iui9eetlvk",Stuttgart
2020-11-26 06:14:24,"wer in der corona-krise mit der bahn fährt, soll sicher sein: bund und länder wollen sitzkapazitäten im fernverkehr… https://t.co/nsrt4lbpi6",Stuttgart
